# Daily Equity Curve
#
# Output File: d:\Benutzerdaten\OneDrive\Dokumente\GitHub\PythonProjects\Coincall\Output Ergebnisse\Matrix_Test_913944\Individual_Tests\004_ET0305_SL70_DailyEquityCurve.csv
# Starting Capital: "$10,000.00" USD
# Date Range: 2025-01-01 to 2025-08-14
# Total Days: 134
# Total Trades: 133
# Total PnL (realized): "$4,509.04"
# Final Capital (realized): "$14,509.04"
# Total PnL (incl. unrealized): "$4,509.04"
# Final Capital (incl. unrealized): "$14,509.04"
# Max Drawdown: -3.12%
#
date,exit_timestamp_readable,capital_curve_usd,realized_pnl_usd,unrealized_pnl_usd
2025-06-03,2025-06-03 23:59,13451.99,101.36,0.00
2025-06-08,2025-06-08 23:59,13550.78,0.00,98.78
2025-06-09,2025-06-09 23:59,13645.47,90.65,102.83
2025-06-10,2025-06-10 23:59,13764.66,222.02,0.00
2025-06-11,2025-06-11 23:59,13854.75,0.00,90.09
2025-06-12,2025-06-12 23:59,13753.08,-11.58,0.00
2025-06-17,2025-06-17 23:59,13644.62,-108.46,0.00
2025-06-24,2025-06-24 23:59,13743.17,0.00,98.55
2025-06-25,2025-06-25 23:59,13851.64,207.01,0.00
2025-06-26,2025-06-26 23:59,13742.00,-109.64,0.00
2025-06-27,2025-06-27 23:59,13834.24,92.25,0.00
2025-06-28,2025-06-28 23:59,13878.35,0.00,44.11
2025-06-29,2025-06-29 23:59,13965.49,64.31,66.94
2025-06-30,2025-06-30 23:59,13884.29,-14.26,0.00
2025-07-01,2025-07-01 23:59,13816.72,-67.58,0.00
2025-07-03,2025-07-03 23:59,13895.59,0.00,78.87
2025-07-04,2025-07-04 23:59,13812.59,-4.12,0.00
2025-07-05,2025-07-05 23:59,13834.81,0.00,22.22
2025-07-06,2025-07-06 23:59,13934.55,43.29,78.67
2025-07-07,2025-07-07 23:59,13851.68,-4.21,0.00
2025-07-08,2025-07-08 23:59,13918.97,0.00,67.29
2025-07-09,2025-07-09 23:59,13996.11,75.49,68.95
2025-07-10,2025-07-10 23:59,14064.18,65.22,71.80
2025-07-11,2025-07-11 23:59,14179.58,77.91,109.29
2025-07-12,2025-07-12 23:59,14123.80,53.51,0.00
2025-07-13,2025-07-13 23:59,14197.84,0.00,74.04
2025-07-15,2025-07-15 23:59,14284.06,160.26,0.00
2025-07-16,2025-07-16 23:59,14396.40,112.34,0.00
2025-07-17,2025-07-17 23:59,14544.27,0.00,147.88
2025-07-18,2025-07-18 23:59,14391.55,-4.85,0.00
2025-07-19,2025-07-19 23:59,14305.29,-86.26,0.00
2025-07-20,2025-07-20 23:59,14366.07,0.00,60.78
2025-07-21,2025-07-21 23:59,14484.92,94.52,85.10
2025-07-22,2025-07-22 23:59,14606.79,206.97,0.00
2025-07-23,2025-07-23 23:59,14497.01,-109.78,0.00
2025-07-24,2025-07-24 23:59,14398.13,-98.89,0.00
2025-07-25,2025-07-25 23:59,14267.35,-130.78,0.00
2025-07-26,2025-07-26 23:59,14316.16,0.00,48.81
2025-07-27,2025-07-27 23:59,14400.35,58.81,74.19
2025-07-28,2025-07-28 23:59,14494.55,82.88,85.51
2025-07-29,2025-07-29 23:59,14590.04,95.66,85.34
2025-07-30,2025-07-30 23:59,14434.70,-70.00,0.00
2025-07-31,2025-07-31 23:59,14316.99,-117.71,0.00
2025-08-08,2025-08-08 23:59,14401.24,0.00,84.25
2025-08-09,2025-08-09 23:59,14446.54,93.44,36.11
2025-08-10,2025-08-10 23:59,14507.00,34.92,61.65
2025-08-11,2025-08-11 23:59,14407.17,-38.18,0.00
2025-08-12,2025-08-12 23:59,14521.29,114.11,0.00
2025-08-13,2025-08-13 23:59,14623.55,102.27,0.00
2025-08-14,2025-08-14 23:59,14509.04,4509.04,0.00
