# BTC Strategie - Chronological Trades
# Generated: 2026-03-13 09:18:40
# Output File: d:\Benutzerdaten\OneDrive\Dokumente\GitHub\PythonProjects\Coincall\Output Ergebnisse\Matrix_Test_913944\Individual_Tests\004_ET0305_SL70_ChronologicalTrades.csv
# Date Range Filter: 2025-01-01 to 2025-08-14
# Total Trades: 133
# P&L Type: realized only (position_pnl = P&L per closed position)
# Straddle: TP/SL gilt fuer gesamten Kombinationswert (Put+Call), nicht pro Einzelleg. Straddle wird gemeinsam eroeffnet und geschlossen.
# Total PnL (realized): "$4,509.04"
# Final Capital (realized): "$14,509.04"
# Final Capital (incl. unrealized): "$14,509.04"
# Max Drawdown: -3.12%
# Total Transactions: 267
# Unique Positions: 134
# P&L Type: realized only (position_pnl = P&L per closed position)
#
timestamp,time,position_id,combo_id,leg_label,action,exit_reason,quantity,underlying_price,reference_price_used_helper,trigger_helper_price,reference_iv,trigger_helper_iv,entry_price,close_price,leg_number,Type,Expiration,Delta,Entry Delta,days_in_trade,position_pnl,leg_fee_usd,Net_Trade_Cost_USD,Net_Trade_Cost_USD_Currency,strike,entry_price_usd,exit_price_usd,leg1_option_type,leg2_option_type
2025-01-31,03:05:00,OPTION_2025-01-31_002,Kombo OPTION_2025-01-31_002,Leg 1 (P),OPEN,,-1,104040.0,,,,,0.0017,,1,P,2025-02-01,-0.10783,,,,0.0,176.868,USD,100000.0,0.0017,,,
2025-01-31,15:26:00,OPTION_2025-01-31_002,Kombo OPTION_2025-01-31_002,Leg 1,CLOSE,take_profit,1,105110.0,,,,,,0.0001,1,P,2025-02-01,-0.10783,-0.10783,0,151.6416,14.715399999999999,-25.226399999999998,USD,100000.0,,0.0001,,
2025-02-01,03:05:00,OPTION_2025-02-01_001,Kombo OPTION_2025-02-01_001,Leg 1 (P),OPEN,,-1,102409.0,,,,,0.0007,,1,P,2025-02-02,-0.08883,,,,0.0,71.6863,USD,100000.0,0.0007,,,
2025-02-01,20:25:00,OPTION_2025-02-01_001,Kombo OPTION_2025-02-01_001,Leg 1,CLOSE,stop_loss,1,101253.0,,,,,,0.0012,1,P,2025-02-02,-0.08883,-0.08883,0,-63.99271999999999,14.175419999999999,-135.67901999999998,USD,100000.0,,0.0012,,
2025-02-21,03:05:00,OPTION_2025-02-21_001,Kombo OPTION_2025-02-21_001,Leg 1 (P),OPEN,,-1,98224.0,,,,,0.0008,,1,P,2025-02-22,-0.07351,,,,0.0,78.5792,USD,95000.0,0.0008,,,
2025-02-21,17:36:00,OPTION_2025-02-21_001,Kombo OPTION_2025-02-21_001,Leg 1,CLOSE,stop_loss,1,97475.0,,,,,,0.0014,1,P,2025-02-22,-0.07351,-0.07351,0,-71.5323,13.6465,-150.11149999999998,USD,95000.0,,0.0014,,
2025-03-03,03:05:00,OPTION_2025-03-03_001,Kombo OPTION_2025-03-03_001,Leg 1 (P),OPEN,,-1,93102.0,,,,,0.0022,,1,P,2025-03-04,-0.11434,,,,0.0,204.82440000000003,USD,89000.0,0.0022,,,
2025-03-03,06:53:00,OPTION_2025-03-03_001,Kombo OPTION_2025-03-03_001,Leg 1,CLOSE,stop_loss,1,91368.0,,,,,,0.0038,1,P,2025-03-04,-0.11434,-0.11434,0,-155.16551999999996,12.791519999999998,-359.98992,USD,89000.0,,0.0038,,
2025-03-20,03:05:00,OPTION_2025-03-20_001,Kombo OPTION_2025-03-20_001,Leg 1 (P),OPEN,,-1,86114.0,,,,,0.0012,,1,P,2025-03-21,-0.07805,,,,0.0,103.3368,USD,82000.0,0.0012,,,
2025-03-20,16:43:00,OPTION_2025-03-20_001,Kombo OPTION_2025-03-20_001,Leg 1,CLOSE,stop_loss,1,83798.0,,,,,,0.0021,1,P,2025-03-21,-0.07805,-0.07805,0,-84.37071999999999,11.73172,-187.70752,USD,82000.0,,0.0021,,
